"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"57.07","994.92","315.01","313.68","32.90","63.86","42.02","94.98","721","46.06","81.80","81","58.25"
"57.07","994.92","315.01","313.68","32.85","63.78","42.06","94.98","720","46.16","81.80","81","58.25"
"57.76","994.92","315.01","315.88","32.84","63.63","42.06","94.98","720","46.25","81.80","81","58.25"
"56.99","994.92","315.01","318.06","32.89","63.78","41.90","94.98","719","46.25","81.80","82","58.25"
"56.53","994.92","315.01","315.88","33.02","63.86","42.06","94.98","720","46.25","81.90","82","58.25"
"57.45","994.92","315.01","313.68","32.97","63.86","42.15","94.98","718","46.35","82","82","58.25"
"56.69","994.92","315.01","313.68","32.84","63.86","42.13","94.98","719","46.45","82","82","58.25"
"57.37","994.92","315.01","313.68","32.89","63.78","41.96","94.98","722","46.45","82.10","82","58.25"
"57.68","992.99","315.01","311.48","32.93","63.78","41.93","94.98","717","46.45","82.10","82","58.25"
"57.83","994.92","315.01","313.68","32.93","63.55","42","94.98","721","46.55","82.10","82","58.25"
"57.14","994.92","315.01","311.48","32.82","63.78","42.02","94.98","720","46.65","82.10","82","58.25"
"57.37","994.92","315.01","313.68","32.80","63.63","41.98","94.98","720","46.65","82.10","82","58.25"
"56.38","994.92","315.01","315.88","32.80","62.94","41.95","94.98","730","46.65","82.20","82","58.25"
"57.98","994.92","315.01","315.88","33.31","63.32","42.26","94.98","705","46.74","82.30","82","58.25"
"57.45","994.92","315.01","313.68","32.87","64.09","41.92","94.98","727","46.74","82.40","82","58.25"
"57.3","992.99","315.01","311.48","32.93","63.63","41.83","94.98","715","46.84","82.40","82","58.25"
"56.76","994.92","315.01","318.06","32.92","63.48","41.89","94.98","719","46.84","82.50","82","58.25"
"57.07","992.99","315.01","313.68","32.97","63.63","41.83","94.98","719","46.94","82.50","82","58.25"
"56.53","992.99","315.01","313.68","32.88","63.48","42.21","94.98","719","46.94","82.50","82","58.25"
"56.38","989.97","315.01","318.06","32.87","63.32","41.86","94.98","722","46.94","82.50","82","58.25"
"56.84","994.92","315.01","313.68","33.11","62.94","42.18","94.98","721","46.94","82.60","82","58.25"
"57.3","992.99","315.01","318.06","32.92","63.55","42.05","94.98","718","46.94","82.60","82","58.25"
"55.92","994.92","315.01","315.88","32.82","63.55","41.94","94.98","720","47.04","82.70","82","58.15"
"57.37","992.99","315.01","315.88","32.88","63.17","42.14","94.98","717","47.14","82.70","82","58.25"
"57.76","989.97","315.01","315.88","32.93","63.55","41.95","94.98","720","47.14","82.80","82","58.15"
"56.84","989.97","315.01","315.88","33.02","63.32","41.93","94.98","721","47.14","82.80","82","58.25"
"57.3","989.97","315.01","315.88","32.96","63.10","41.76","94.98","719","47.23","82.80","82","58.25"
"57.53","989.97","315.01","315.88","32.92","63.32","42.18","94.98","718","47.33","82.90","82","58.25"
"56.99","989.97","315.01","318.06","32.86","63.25","41.98","94.98","720","47.33","82.90","82","58.25"
"56.76","989.97","315.01","311.48","32.92","63.48","42","94.98","719","47.33","82.90","83","58.15"
"55.85","992.99","315.01","313.68","32.87","63.25","42.14","94.98","722","47.43","83","83","58.25"
"57.76","989.97","315.01","318.06","33.01","63.17","42.04","94.98","720","47.43","83","83","58.25"
"57.37","989.97","315.01","315.88","32.87","63.32","42.01","94.98","722","47.53","83.10","83","58.25"
"57.37","992.99","315.01","313.68","32.91","63.48","41.96","94.98","719","47.53","83.10","83","58.15"
"56.23","992.99","315.01","311.48","32.86","63.32","42.05","94.98","723","47.53","83.10","83","58.15"
"57.14","989.97","315.01","311.48","32.82","63.48","42.06","94.98","719","47.63","83.20","83","58.15"
"57.53","989.97","315.01","318.06","32.92","63.10","42.06","94.98","719","47.63","83.20","83","58.25"
"57.14","989.97","315.01","313.68","32.91","63.17","42.19","94.98","722","47.72","83.30","83","58.15"
"57.45","989.97","315.01","318.06","32.86","63.25","42","94.98","717","47.72","83.30","83","58.15"
"57.07","989.97","315.01","313.68","32.86","63.32","42.19","94.98","720","47.82","83.30","83","58.15"
"57.14","992.99","315.01","313.68","32.82","63.25","42.10","94.98","719","47.82","83.40","83","58.15"
"57.45","989.97","315.01","313.68","32.87","63.32","42.05","94.98","717","47.92","83.40","83","58.15"
"56.69","992.99","315.01","315.88","32.87","63.55","41.99","94.98","720","47.92","83.40","83","58.15"
"57.07","989.97","315.01","318.06","32.91","63.32","42.06","94.98","719","47.92","83.40","83","58.15"
"57.14","989.97","315.01","313.68","32.82","63.48","41.95","94.98","722","48.02","83.40","83","58.15"
"56.84","989.97","315.01","313.68","32.91","62.94","41.80","94.98","718","48.02","83.50","83","58.15"
