"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"96.36","1092.97","316.21","307.08","34.17","106.13","40.88","93.50","1258","57.04","89.60","89","56.53"
"93.54","1088.94","385.28","362.07","36.63","110.48","38.58","94.98","1252","57.04","89.50","89","56.53"
"112.23","1188.92","527.99","626.1","38.02","125.96","41.77","92.00","1299","57.04","89.50","89","56.53"
"115.43","1212.91","499.16","439.1","39.07","133.36","37.71","94.98","1425","57.04","89.40","89","56.63"
"132.52","1290","619.61","614.98","40.89","151.14","39.22","94.98","1456","57.14","89.30","89","56.63"
"138.17","1357.93","317.05","296.09","33.86","153.58","41.85","90.94","1466","57.14","89.30","89","56.63"
"122.07","1169.97","317.28","313.68","33.81","133.97","42.34","93.88","1443","56.94","89.30","89","56.63"
"108.87","1113.94","312.08","315.88","33.89","119.25","42.65","94.55","1338","56.94","89.30","89","56.53"
"96.67","1090.96","339.98","318.06","34.56","106.89","41.51","94.94","1259","57.04","89.30","89","56.53"
"91.25","1069.99","319.90","326.92","34.27","101.78","40.37","94.89","1260","57.04","89.30","89","56.43"
"108.87","1135.91","577.48","617.18","40.38","125.96","39.11","94.98","1364","57.14","89.30","89","56.43"
"123.37","1263.99","382.89","417.09","34.86","133.75","42.66","89.13","1343","57.34","89.30","89","56.43"
"101.78","1161.91","305.79","260.98","33.66","111.70","41.14","94.28","1291","57.14","89.40","89","56.43"
"96.06","1092.97","305.19","307.08","33.78","104.83","41.73","94.98","1234","57.04","89.30","89","56.43"
"90.18","1066.97","307.40","315.88","33.86","99.26","41.99","94.98","1173","57.04","89.40","89","56.43"
"85.15","1051.96","310.88","318.06","33.99","93.16","42.38","94.98","1066","57.04","89.40","89","56.43"
"78.28","1037.95","315.01","307.08","34.20","84.08","41.70","94.98","922","57.04","89.40","89","56.43"
"61.26","1026.96","315.01","331.29","34.18","66.38","42.25","94.98","737","56.94","89.40","89","56.43"
"57.37","1007.92","315.01","318.06","34.03","66.00","41.79","94.98","837","56.75","89.40","89","56.43"
"103.76","1024.95","499.49","489.69","38.64","126.27","39.46","94.98","1573","56.85","89.40","89","56.43"
"135.42","1203.94","490.38","505.06","37.96","149.77","40.44","94.98","1537","57.14","89.30","89","56.43"
"132.3","1254.93","452.38","463.27","36.87","149.54","41.28","92.37","1492","57.34","89.40","89","56.53"
"125.89","1220.96","353.35","344.57","34.77","141.68","41.28","91.72","1458","57.34","89.30","89","56.53"
"114.82","1158.98","327.79","324.71","34.29","128.10","40.99","93.54","1408","57.34","89.30","89","56.53"
"112.84","1158.98","359.09","364.38","34.87","127.79","41.28","91.10","1413","57.43","89.30","89","56.53"
"109.79","1143.97","311.07","298.29","33.94","120.16","41.15","93.75","1337","57.53","89.40","89","56.53"
"95.06","1101.94","305.19","289.6","33.77","105.06","41.55","94.98","1212","57.53","89.40","89","56.53"
"85.83","1073.93","313.77","333.5","34.05","90.03","42.19","94.98","923","57.53","89.40","89","56.43"
"60.43","1045.91","315.01","331.29","34.16","66.76","42.33","94.98","731","57.53","89.40","89","56.43"
"54.25","1020.92","315.01","322.46","34.17","62.03","41.27","94.98","740","57.43","89.40","89","56.43"
"87.66","1020.92","489.88","461.07","38.55","110.55","38.98","94.98","1512","57.43","89.40","89","56.43"
"155.87","1203.94","680.75","700.91","42.03","192.26","38.89","94.98","1895","57.73","89.50","89","56.43"
"199.05","1436.94","750.05","753.58","43.40","241.47","38.49","94.98","2012","58.22","89.60","89","56.53"
"219.88","1560.9","781.98","764.66","44.10","258.64","37.72","94.98","1894","58.51","89.60","89","56.63"
"224.99","1641.93","833.96","839.38","44.69","271.84","38.26","94.98","1982","58.96","89.60","89","56.63"
"236.74","1658.96","845.09","843.76","45.01","293.58","37.68","94.98","2155","59.05","89.70","89","56.82"
"239.34","1626.91","534.09","518.29","38.53","287.63","39.78","51.29","2297","59.25","89.80","89","56.82"
"155.64","1473.93","402.57","351.09","36.40","175.55","40.10","94.98","1580","59.35","89.90","90","56.92"
"139.85","1351.98","403.30","403.9","35.73","153.73","40.78","91.79","1486","59.35","90.10","90","56.82"
"132.98","1291.92","616.08","568.79","41.47","159.76","38.97","94.98","1509","59.35","90.40","90","56.82"
"150.38","1402.97","511.89","513.91","38.35","169.83","39.69","94.98","1556","59.45","90.60","90","56.63"
"155.26","1425.95","488.59","487.49","37.72","173.72","40.21","94.98","1599","59.64","90.80","91","56.82"
"168.84","1421.93","687.68","687.58","42.26","191.58","38.79","94.98","1656","59.64","91","91","56.82"
"176.93","1502.95","530.70","509.37","38.64","198.75","39.49","94.98","1710","59.74","91.20","91","56.63"
"182.27","1498.92","545.99","538.08","39.09","204.85","39.55","94.79","1759","59.74","91.20","91","56.82"
"188.3","1513.94","563.05","553.49","39.21","213.09","40.24","90.51","1840","59.84","91.30","91","56.82"
"164.8","1483.91","699.90","714","42.18","186.77","39.49","94.98","1517","59.84","91.30","91","56.63"
"168.84","1526.94","719.67","724.99","42.69","187.08","38.94","94.98","1518","59.94","91.30","91","56.82"
"168.76","1537.92","720.49","720.58","42.19","192.26","40.51","94.98","1526","60.03","91.30","91","56.82"
"167.54","1507.99","709.87","678.8","42.33","196.54","38.92","94.98","1587","60.03","91.40","91","56.82"
"179.37","1554.95","740.58","738.18","43.15","208.90","38.92","94.98","1622","60.23","91.50","91","56.82"
"189.06","1594.96","748.98","779.96","42.63","219.96","39.94","94.98","1665","60.33","91.60","91","56.82"
"196.76","1622.98","787.27","788.79","43.85","232.85","38.46","94.98","1742","60.33","91.70","91","56.92"
"204.78","1646.96","704.18","698.57","41.22","244.53","40.39","94.86","1782","60.62","91.90","92","56.82"
"203.1","1601.92","558.68","557.9","38.93","227.74","39.71","89.13","1824","60.62","92","92","56.82"
"152.06","1517.97","443.51","423.76","36.99","166.78","40.18","94.78","1485","60.52","92.10","92","56.82"
"140.15","1378.99","394.38","412.68","35.68","150.38","40.95","92.18","1438","60.33","92.20","92","56.82"
"120.09","1246.97","319.07","291.71","33.90","131.69","41.01","93.81","1375","60.23","92.30","92","56.82"
"118.56","1169.97","461.58","450","38.11","141.37","39.33","94.98","1488","60.03","92.40","92","56.63"
"124.06","1261.98","405.18","414.88","36.22","139.93","40.82","93.37","1451","60.03","92.50","92","56.63"
"132.37","1280.93","605.96","551.29","41.01","151.14","39.48","94.98","1444","60.03","92.60","92","56.63"
"145.34","1376.97","618.51","608.4","40.92","166.25","39.04","94.98","1532","60.03","92.60","92","56.63"
"163.73","1464.96","693.25","689.88","42.21","190.89","39.01","94.98","1588","59.94","92.60","92","56.63"
"179.45","1549.92","745.67","747","43.08","209.28","38.67","94.98","1627","59.94","92.50","92","56.63"
"188.68","1603.93","778.17","777.76","41.57","220.26","45.39","84.26","1599","59.84","92.50","92","56.63"
"156.25","1436.94","322.37","254.31","33.81","170.82","41.79","93.60","1524","59.64","92.50","92","56.82"
"110.86","1220.96","308.59","298.29","33.75","114.60","41.59","94.98","1178","59.25","92.50","92","56.63"
"91.86","1122.91","307.49","318.06","33.90","103.68","41.84","94.98","1216","59.15","92.50","92","56.63"
"114.29","1150.93","544.30","564.48","39.38","124.89","39.57","94.98","1310","59.15","92.50","92","56.53"
"112.46","1252.92","421.97","423.76","36.31","127.18","40.64","92.52","1298","59.15","92.50","92","56.53"
"108.57","1210.98","354.36","337.99","34.91","122.76","40.50","92.58","1310","58.86","92.50","92","56.53"
"110.48","1212.91","413.46","454.49","36.15","120.77","41.21","92.98","1269","58.51","92.50","92","56.53"
"109.56","1208.97","393.70","388.46","35.84","121.16","40.17","94.98","1300","58.32","92.50","92","56.53"
"112.54","1239.92","443.19","458.87","36.64","123.75","40.85","91.42","1280","58.22","92.50","92","56.53"
"112.08","1216.94","373.29","377.48","35.30","123.67","40.61","92.93","1308","57.83","92.30","92","56.53"
"108.49","1201.92","374.80","375.28","35.53","121.77","40.33","93.12","1314","57.73","92.20","92","56.53"
"109.48","1210.98","391.08","399.45","35.94","121.84","40.69","93.01","1306","57.53","92.10","91","56.53"
"112.08","1203.94","374.62","373.1","35.47","123.14","40.66","94.98","1328","57.34","92","91","56.43"
"112.15","1220.96","388.19","414.88","35.61","122.45","40.59","93.23","1312","57.04","91.80","91","56.43"
"112.15","1208.97","382.71","375.28","35.63","124.59","40.45","93.05","1328","56.85","91.70","91","56.53"
"120.39","1210.98","592.87","597.5","40.71","139.93","39.21","94.98","1348","56.75","91.50","91","56.53"
