"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"53.79","994.92","315.01","315.88","34.59","61.04","42.58","94.98","726","62.04","96.90","96","62.51"
"69.35","994.92","372.28","360.01","36.08","85.30","40.96","94.60","1179","62.14","96.90","96","62.51"
"106.05","1071.91","484.10","491.9","38.51","125.43","40.63","94.98","1486","62.53","96.90","96","62.51"
"150.38","1197.98","628.67","647.98","41.89","178.76","38.64","94.98","1896","63.03","96.90","96","62.51"
"204.17","1404.99","761.20","764.66","44.23","255.97","38.41","94.98","2330","63.42","96.90","96","62.66"
"223.24","1368.92","521.96","458.87","38.92","264.44","41.48","58.80","2105","63.86","96.80","96","62.86"
"197.38","1500.94","757.67","775.69","45.12","200.88","39.02","94.98","1600","64.25","96.80","96","62.86"
"193.48","1584.98","830.60","839.38","45.19","232.39","38.74","94.98","1900","64.55","96.70","96","62.86"
"228.43","1622.98","837.77","823.99","45.54","282.29","38.52","94.98","2168","64.74","96.80","96","62.95"
"264.44","1665.92","904.78","903.18","47.10","331.35","37.92","94.98","2445","65.04","96.90","97","62.95"
"265.89","1548","462.26","458.87","37.18","321.74","40.61","48.04","2470","65.43","97","97","62.95"
"192.87","1537.92","757.39","777.76","43.92","218.89","40.26","94.98","1733","65.62","97.20","97","63.05"
"205.39","1628.93","804.18","819.56","44.93","238.50","38.89","63.96","1848","65.92","97.40","97","63.05"
"184.48","1432.91","338.08","340.17","34.76","204.39","42.24","94.45","1749","65.92","97.60","97","63.05"
"127.49","1237.99","318.98","313.68","34.44","132.68","42.01","94.88","1315","65.72","97.70","97","62.95"
"99.26","1135.91","307.90","291.71","34.50","112.15","41.97","94.97","1292","65.72","97.90","98","62.86"
"91.48","1092.97","309.97","300.59","34.67","105.29","41.29","94.93","1288","65.72","98","98","62.86"
"110.93","1126.94","571.08","553.49","40.92","129.47","39.38","94.98","1367","65.92","98.20","98","62.66"
"128.33","1277","625.09","639.19","41.73","150.15","40.06","94.98","1455","65.92","98.30","98","62.66"
