"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"51.04","957.93","311.98","309.28","33.82","59.05","42.15","23.00","719","58.22","95.80","95","54.13"
"50.74","955.92","312.49","311.48","33.76","59.05","42.10","23.00","716","58.22","95.80","95","54.13"
"50.66","955.92","312.31","311.48","33.85","58.98","41.80","23.00","722","58.22","95.80","95","54.13"
"51.5","957.93","312.58","313.68","33.83","58.90","42.16","23.00","720","58.22","95.90","95","54.13"
"50.66","955.92","312.58","313.68","33.82","58.98","41.96","23.00","719","58.22","95.90","95","54.13"
"51.04","955.92","312.17","311.48","33.72","58.90","41.90","23.00","720","58.22","95.90","95","54.13"
"51.73","955.92","312.08","311.48","33.87","58.98","41.69","23.00","719","58.32","95.90","95","54.13"
"50.97","955.92","312.67","313.68","33.89","59.13","42.09","23.00","719","58.32","95.90","95","54.13"
"50.43","955.92","312.40","318.06","33.76","58.98","42.07","23.00","720","58.32","95.90","95","54.13"
"51.19","955.92","312.58","311.48","33.74","58.90","42.14","23.00","720","58.32","95.90","95","54.13"
"50.43","955.92","312.67","311.48","33.80","58.98","42.05","23.00","720","58.32","96","96","54.13"
"50.13","955.92","370.81","351.09","35.69","67.60","39.30","23.00","1155","58.32","96","96","54.22"
"73.09","955.92","311.39","285.2","33.66","73.47","40.93","23.00","832","58.41","96.10","96","54.13"
"52.64","964.98","307.49","300.59","33.58","60.43","41.94","23.00","735","58.41","96.10","96","54.13"
"52.26","960.95","346.87","357.67","34.67","67.44","41.17","23.00","959","58.41","96.10","96","54.13"
"92.39","930.92","455.41","491.9","36.96","107.19","40.66","23.00","1431","58.41","96.10","96","54.13"
"98.57","951.98","323.11","384.09","33.51","96.89","41.30","23.00","1091","58.61","96.10","96","54.13"
"68.97","974.96","299.99","276.28","33.53","72.94","42.19","23.00","776","58.61","96.10","96","54.03"
"53.64","972.94","300.77","309.28","33.55","60.43","41.97","23.00","694","58.61","96.10","96","54.03"
"50.74","964.98","313.77","311.48","33.86","59.05","41.92","23.00","721","58.51","96.10","96","54.03"
"67.83","942.91","472.19","428.07","38.16","98.50","39.53","23.00","1477","58.51","96.20","96","54.03"
"107.5","942.91","317.88","353.35","29.96","99.87","41.85","23.00","882","58.61","96.30","96","54.03"
"54.86","983.93","303.29","307.08","33.53","62.49","42.15","23.00","725","58.61","96.30","96","54.03"
"51.96","972.94","312.08","309.28","33.89","60.20","41.80","23.00","727","58.51","96.30","96","54.03"
